file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score
gaze_log_20250628_132251.csv,4,0.09676003456115723,0.1234898567199707,2,0,2,20.036853392918903,13.21612417991576,0,20,0.0,0.0,2.5,57
gaze_log_20250627_113942.csv,13,0.08971073077275203,0.11132001876831055,1,4,8,5.421695828437805,6.988994510490761,0,49,0.07692307692307693,0.07692307692307693,2.076923076923077,35
gaze_log_20250628_151245.csv,27,0.0903685004622848,0.11088013648986816,10,4,13,2.5471034600184512,2.0992695298204103,6,64,0.1111111111111111,0.08641975308641975,2.7777777777777777,44
gaze_log_20250628_152604.csv,44,0.2651686126535589,0.8324699401855469,12,9,23,1.6622265106023744,1.1544671401312925,20,456,0.11363636363636363,0.06198347107438016,3.8181818181818183,47
gaze_log_20250629_134116.csv,7,0.30990716389247347,0.7092199325561523,2,0,5,10.77858833471934,17.643180380157986,2,187,0.0,0.0,6.0,80
gaze_log_20250629_141012.csv,9,0.11103558540344238,0.1526198387145996,4,1,4,8.878636240959167,6.875496604820271,0,29,0.1111111111111111,0.1111111111111111,3.2222222222222223,55
gaze_log_20250628_123215.csv,44,0.13615252754905008,0.31989002227783203,14,13,17,1.5775658141734987,1.6335448584053889,26,466,0.1590909090909091,0.06508264462809916,5.181818181818182,35
gaze_log_20250629_153403.csv,7,0.09687430518014091,0.11144018173217773,2,1,4,11.199751694997152,8.176690224541161,0,22,0.14285714285714285,0.14285714285714285,2.4285714285714284,60
gaze_log_20250629_181948.csv,4,0.09003239870071411,0.11100983619689941,1,2,1,16.355950037638348,8.736048606063433,0,25,0.0,0.0,3.75,57
gaze_log_20250627_130744.csv,13,0.2503653673025278,0.6703698635101318,6,2,5,5.021762510140737,4.671317607833519,1,69,0.07692307692307693,0.07100591715976332,3.230769230769231,55
gaze_log_20250628_125506.csv,5,0.09992418289184571,0.11217021942138672,5,0,0,5.063099980354309,7.95216753269788,2,34,0.0,0.0,3.4,50
gaze_log_20250628_124618.csv,9,0.1591054598490397,0.2635800838470459,5,3,1,6.788752496242523,6.59611065779734,1,402,0.0,0.0,4.555555555555555,58
gaze_log_20250629_120016.csv,3,0.12544353802998862,0.1400001049041748,1,0,2,23.2719749212265,4.123584866523743,0,55,0.0,0.0,3.3333333333333335,38
gaze_log_20250629_131127.csv,8,0.17352241277694702,0.27653002738952637,3,4,1,6.618954249790737,3.9135291526823774,0,39,0.125,0.125,2.125,55
gaze_log_20250627_101809.csv,29,0.15199484496281065,0.31959009170532227,12,4,13,2.5502778632300243,1.1014962713428478,1,98,0.13793103448275862,0.13317479191438764,2.6551724137931036,49
gaze_log_20250627_133850.csv,38,0.19456396604839124,0.6825897693634033,16,10,12,1.947058104180001,1.5679986641608137,18,87,0.05263157894736842,0.02770083102493075,3.473684210526316,49
gaze_log_20250628_123808.csv,12,0.15027664105097452,0.24957013130187988,8,2,2,5.810760021209717,4.407462450540412,0,86,0.08333333333333333,0.08333333333333333,4.916666666666667,48
gaze_log_20250628_113920.csv,24,0.11977878212928772,0.16711974143981934,4,7,13,2.824424349743387,2.8531249731581023,9,118,0.16666666666666666,0.10416666666666666,3.625,55
gaze_log_20250628_114901.csv,8,0.16107627749443054,0.3745899200439453,0,2,6,4.823494264057705,7.0581500974932005,4,182,0.125,0.0625,2.375,70
gaze_log_20250628_171009.csv,22,0.1153527173128995,0.19532990455627441,8,7,7,3.1146280879066106,2.0365211510774217,4,48,0.13636363636363635,0.11157024793388429,3.090909090909091,42
gaze_log_20250629_121256.csv,27,0.10428927562854907,0.15229010581970215,10,4,13,2.795533849642827,2.333274659603067,4,60,0.07407407407407407,0.06310013717421124,3.5925925925925926,65
gaze_log_20250628_103851.csv,4,0.11150741577148438,0.16722989082336426,1,1,2,11.184170007705688,4.647741568547741,0,34,0.25,0.25,3.5,64
gaze_log_20250629_182927.csv,17,0.10842349950005026,0.166489839553833,9,1,7,4.557426884770393,4.201026838456437,3,162,0.0,0.0,3.411764705882353,58
gaze_log_20250627_172038.csv,9,0.09840223524305555,0.1380300521850586,3,4,2,6.290236264467239,7.715594978043593,0,85,0.0,0.0,4.111111111111111,55
gaze_log_20250628_144058.csv,10,0.12765200138092042,0.23553013801574707,4,2,4,6.610047764248318,5.682166235754527,0,30,0.1,0.1,2.3,50
gaze_log_20250629_150337.csv,67,0.10790702478209538,0.16759014129638672,28,15,24,1.1270913644270464,0.9721340013094426,54,311,0.05970149253731343,0.011583871686344397,2.5970149253731343,44
gaze_log_20250627_102118.csv,15,0.12204198837280274,0.2637498378753662,0,4,11,2.981386423110962,3.6539829516139704,8,56,0.06666666666666667,0.03111111111111111,3.3333333333333335,58
gaze_log_20250627_131717.csv,25,0.13217198371887207,0.40327000617980957,8,9,8,5.38306000828743,10.70101239058242,7,468,0.08,0.0576,3.56,84
gaze_log_20250629_112538.csv,3,0.09213002522786458,0.09696006774902344,2,0,1,27.827035069465637,13.172454953193665,0,28,0.0,0.0,6.0,60
gaze_log_20250628_134829.csv,5,0.16123199462890625,0.19405007362365723,0,1,4,7.197912514209747,2.8696394807326544,0,62,0.0,0.0,5.6,57
gaze_log_20250628_142405.csv,13,0.14720538946298453,0.2494800090789795,4,3,6,4.8417016466458636,2.3573632932132496,0,32,0.15384615384615385,0.15384615384615385,4.461538461538462,52
gaze_log_20250629_181231.csv,7,0.09893720490591866,0.12399005889892578,4,3,0,6.859291672706604,5.488130476462343,0,107,0.14285714285714285,0.14285714285714285,3.142857142857143,30
gaze_log_20250628_135049.csv,5,0.10831012725830078,0.13840031623840332,2,2,1,10.316235065460205,10.893288358319957,1,90,0.6,0.48,5.8,75
gaze_log_20250629_134703.csv,4,0.1455399990081787,0.2909700870513916,2,0,2,23.26411994298299,28.14553012532299,0,24,0.0,0.0,3.25,32
gaze_log_20250629_111554.csv,10,0.25407798290252687,0.8084900379180908,3,1,6,4.661663320329454,4.451853479509693,2,202,0.0,0.0,4.9,51
gaze_log_20250628_143120.csv,12,0.10276583830515544,0.20837974548339844,5,3,4,6.204642729325728,6.556620043201134,2,63,0.0,0.0,3.3333333333333335,47
gaze_log_20250627_182251.csv,7,0.09303562981741768,0.11015987396240234,2,4,1,9.718439976374308,8.479422553703108,0,81,0.14285714285714285,0.14285714285714285,4.714285714285714,49
gaze_log_20250629_124909.csv,3,0.23112996419270834,0.4999098777770996,3,0,0,9.959949970245361,9.208570003509521,0,23,0.0,0.0,2.0,40
gaze_log_20250627_170204.csv,11,0.09937542135065253,0.13779997825622559,8,2,1,5.155857014656067,6.101086430168807,2,73,0.09090909090909091,0.0743801652892562,4.363636363636363,51
gaze_log_20250627_143802.csv,12,0.11780665318171184,0.16675996780395508,4,2,6,5.950012748891657,2.9727427582707544,0,17,0.16666666666666666,0.16666666666666666,3.0833333333333335,29
gaze_log_20250627_143157.csv,18,0.20106882519192165,0.5564298629760742,5,6,7,3.5158070536220776,3.019731335544514,4,277,0.1111111111111111,0.08641975308641975,3.3333333333333335,60
gaze_log_20250627_162833.csv,26,0.23500647911658654,0.5416500568389893,10,4,12,2.775063199996948,1.4255016269043268,2,319,0.11538461538461539,0.10650887573964499,3.230769230769231,56
gaze_log_20250628_153053.csv,47,0.11346768825612169,0.23637986183166504,15,10,22,1.605192832324816,1.1213507562381788,23,156,0.10638297872340426,0.05432322317790857,3.9574468085106385,49
