,blink duration (mean),total_blinks,burst counts,inter-blink intervals (mean)
PC1,0.1323340058442475,0.6195230935881273,0.5769878476014186,-0.515522910381772
PC2,0.9907401019281585,-0.09153396057262736,-0.09066006379517492,0.04285250664692741
