file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250629_140237.csv,6,0.0970999399820963,0.1114001274108886,5,0,1,11.348318004608156,11.396604147713363,0,42,0.1666666666666666,0.1666666666666666,3.333333333333333,51,Mid,0
gaze_log_20250627_123431.csv,19,0.1154437316091437,0.3330800533294678,3,6,10,3.7084261178970337,5.004601182660801,5,53,0.1052631578947368,0.0775623268698061,2.8947368421052637,59,High,0
gaze_log_20250626_115514.csv,10,0.1095999717712402,0.2080399990081787,1,3,6,6.264697790145874,6.103371123455648,1,674,0.1,0.09,4.0,43,Low,0
gaze_log_20250629_183715.csv,9,0.1541755729251437,0.3463099002838135,5,2,2,7.668678730726242,8.584952268817618,2,30,0.2222222222222222,0.1728395061728395,2.6666666666666665,50,Mid,0
gaze_log_20250627_163559.csv,3,0.101563294728597,0.1388196945190429,0,3,0,1.507179856300354,0.1042500734329223,0,62,0.0,0.0,4.333333333333333,55,Mid,0
gaze_log_20250629_182345.csv,5,0.1148200035095214,0.1805400848388672,2,0,3,9.465569972991943,9.16671298240187,0,22,0.6,0.6,3.0,65,High,0
gaze_log_20250627_140343.csv,22,0.0933681726455688,0.138589859008789,8,9,5,3.465741906847273,4.378556475165773,8,311,0.0,0.0,4.045454545454546,49,Mid,1
gaze_log_20250629_191517.csv,4,0.1041699647903442,0.1526200771331787,1,0,3,17.982706626256306,15.389470350567924,0,29,0.0,0.0,3.25,56,Mid,0
gaze_log_20250629_182543.csv,21,0.2131714366731189,0.3887898921966553,11,5,5,3.5141424894332887,3.135447298230704,5,92,0.0476190476190476,0.0362811791383219,4.095238095238095,32,Low,2
gaze_log_20250629_103049.csv,6,0.1202966372172037,0.1663000583648681,2,1,3,13.80928602218628,3.913063534989223,0,35,0.1666666666666666,0.1666666666666666,3.333333333333333,54,Mid,0
gaze_log_20250629_181937.csv,7,0.1406270776476179,0.2496199607849121,3,1,3,9.84558335940043,5.797771935915039,0,40,0.1428571428571428,0.1428571428571428,2.857142857142857,57,Mid,0
gaze_log_20250627_173428.csv,6,0.0923383235931396,0.0972199440002441,3,2,1,8.297345972061157,3.2761752626606,0,27,0.1666666666666666,0.1666666666666666,1.5,34,Low,0
gaze_log_20250629_135707.csv,5,0.0943599224090576,0.1115601062774658,3,1,1,9.528477549552916,8.826044577324943,0,78,0.0,0.0,4.6,49,Mid,0
gaze_log_20250629_180619.csv,4,0.1109799146652221,0.1666898727416992,3,0,1,15.334866603215536,13.569887450660982,0,12,0.0,0.0,2.5,43,Low,0
gaze_log_20250629_112025.csv,3,0.1434233983357747,0.2082500457763672,1,1,1,19.9728000164032,9.52822995185852,0,23,0.0,0.0,2.6666666666666665,55,Mid,0
